MessageSize(byte),Sig_Gen(ms),Sig_Verify(ms)
1,51.9766,163.203
2,51.6598,163.387
3,51.8433,163.259
4,51.5947,162.928
5,51.4754,162.985
6,51.4696,163.177
7,51.5915,163.057
8,51.5777,162.627
9,51.7143,162.704
10,51.4964,162.752
11,51.5188,162.513
12,51.6239,162.737
13,51.6799,162.809
14,51.6109,162.745
15,51.6791,162.969
16,51.7552,162.975
17,51.623,163.029
18,51.4757,162.689
19,51.6918,163.067
20,51.8059,162.771
21,51.4789,162.747
22,51.5979,162.145
23,51.4387,162.674
24,51.6639,162.735
25,51.5883,162.71
26,51.4532,162.731
27,51.5767,162.634
28,51.4985,162.67
29,51.5586,162.935
30,51.9145,162.909
31,51.5102,162.378
32,51.7224,162.898
33,51.6937,162.973
34,51.8438,162.872
35,51.6501,162.493
36,51.5329,162.723
37,51.6475,163.183
38,51.5661,162.918
39,51.7768,162.752
40,51.2855,162.465
41,51.5422,162.94
42,51.6465,162.501
43,51.5774,162.671
44,51.6851,162.913
45,51.4456,162.882
46,51.3415,162.549
47,51.4718,162.522
48,51.6467,162.485
49,51.4088,162.785
50,51.2654,162.557
51,51.3334,162.567
52,51.4581,162.851
53,51.7855,162.952
54,51.8042,163.23
55,51.7124,163.2
56,51.6965,162.806
57,51.6188,162.526
58,51.7323,162.938
59,51.694,162.89
60,52.1655,164.953
61,51.954,163.513
62,51.5543,162.633
63,51.5854,162.887
64,51.696,162.701
65,51.6414,162.863
66,51.6708,163.016
67,51.7667,162.876
68,51.5878,162.618
69,51.7597,162.837
70,51.9716,164.095
71,51.7873,162.898
72,51.6623,163.287
73,51.6332,162.86
74,51.6442,163.439
75,51.5994,162.626
76,51.4124,163.226
77,51.5137,162.573
78,51.6268,162.744
79,51.7368,162.814
80,51.6031,162.689
81,51.5556,162.756
82,51.7072,162.73
83,51.4229,162.927
84,52.6048,166.656
85,52.1301,163.888
86,51.7062,162.841
87,51.2888,162.663
88,51.7543,162.735
89,51.5835,163.105
90,51.6577,162.999
91,53.292,168.495
92,52.3715,165.814
93,51.6609,163.056
94,51.6528,162.779
95,51.424,162.442
96,51.785,162.943
97,51.5738,162.858
98,51.4485,162.928
99,51.6504,162.81
100,51.5864,162.517
