MessageSize(byte),Sig_Gen(ms),Sig_Verify(ms)
1,50.49,140.981
2,50.3105,140.6
3,50.6509,140.617
4,50.2985,140.68
5,50.373,140.975
6,50.4547,141.23
7,50.8767,141.737
8,50.4478,140.491
9,50.156,140.522
10,49.9505,140.39
11,49.9429,140.261
12,52.8453,147.899
13,50.2727,140.478
14,51.0021,143.049
15,50.8204,141.745
16,51.1062,141.902
17,50.6702,140.76
18,49.9908,139.901
19,50.4713,140.924
20,50.3945,140.049
21,49.8665,139.322
22,50.9946,142.271
23,50.4137,142.771
24,51.1654,142.254
25,51.584,145.02
26,50.6313,140.394
27,50.7064,141.227
28,50.0105,140.326
29,50.0225,139.9
30,50.0871,139.789
31,50.0627,139.801
32,50.1069,140.136
33,50.1439,139.93
34,50.1232,139.647
35,49.95,140.157
36,50.0612,140.163
37,50.0586,139.826
38,49.9333,139.952
39,50.0056,139.986
40,49.8961,139.728
41,50.0285,139.691
42,50.0041,139.781
43,49.9799,139.994
44,49.9644,139.567
45,50.169,139.992
46,49.9591,139.741
47,50.0895,139.834
48,50.0576,139.685
49,50.1108,139.707
50,49.9389,140.154
51,50.0707,140.007
52,50.5667,140.775
53,50.0665,139.905
54,49.7898,139.935
55,49.9631,139.627
56,50.1521,139.746
57,50.5246,141.177
58,51.3722,143.509
59,50.5938,141.472
60,50.3347,140.432
61,50.6681,141.703
62,52.306,145.576
63,50.354,140.535
64,50.184,139.845
65,52.1116,143.499
66,50.2232,140.958
67,49.9002,139.566
68,49.7117,139.413
69,50.0119,140.353
70,50.5277,141.286
71,50.2239,140.1
72,50.117,140.306
73,50.3903,140.598
74,50.4798,140.784
75,50.6821,140.862
76,50.6555,140.893
77,50.7429,141.953
78,50.2058,140.05
79,50.4479,141.315
80,50.4076,141.072
81,50.6556,142.027
82,50.8069,141.827
83,50.1072,140.202
84,51.3227,142.65
85,51.7092,144.011
86,51.3889,144.276
87,51.4217,143.819
88,49.909,139.623
89,49.7884,139.532
90,50.4478,140.568
91,49.9666,140.033
92,49.876,139.195
93,49.5332,139.11
94,49.8147,139.258
95,49.7157,138.822
96,49.7418,139.267
97,49.6695,139.195
98,49.7353,139.243
99,49.9492,139.286
100,49.7087,139.103
